Date,Company_Name,Close_Price
2019-08-01,Wahed FTSE USA Shariah ETF,22.9271297454834
2019-09-01,Wahed FTSE USA Shariah ETF,23.65843772888184
2019-10-01,Wahed FTSE USA Shariah ETF,24.153221130371094
2019-11-01,Wahed FTSE USA Shariah ETF,25.25846290588379
2019-12-01,Wahed FTSE USA Shariah ETF,26.201717376708984
2020-01-01,Wahed FTSE USA Shariah ETF,26.06634521484375
2020-02-01,Wahed FTSE USA Shariah ETF,23.5783634185791
2020-03-01,Wahed FTSE USA Shariah ETF,20.67891502380371
2020-04-01,Wahed FTSE USA Shariah ETF,23.67254638671875
2020-05-01,Wahed FTSE USA Shariah ETF,25.02421760559082
2020-06-01,Wahed FTSE USA Shariah ETF,25.73466110229492
2020-07-01,Wahed FTSE USA Shariah ETF,27.539628982543945
2020-08-01,Wahed FTSE USA Shariah ETF,30.30705451965332
2020-09-01,Wahed FTSE USA Shariah ETF,28.864686965942383
2020-10-01,Wahed FTSE USA Shariah ETF,27.65695571899414
2020-11-01,Wahed FTSE USA Shariah ETF,31.165258407592773
2020-12-01,Wahed FTSE USA Shariah ETF,32.70743942260742
2021-01-01,Wahed FTSE USA Shariah ETF,33.00868225097656
2021-02-01,Wahed FTSE USA Shariah ETF,32.85566711425781
2021-03-01,Wahed FTSE USA Shariah ETF,34.20467758178711
2021-04-01,Wahed FTSE USA Shariah ETF,35.41511535644531
2021-05-01,Wahed FTSE USA Shariah ETF,35.46364212036133
2021-06-01,Wahed FTSE USA Shariah ETF,36.57006454467773
2021-07-01,Wahed FTSE USA Shariah ETF,37.700965881347656
2021-08-01,Wahed FTSE USA Shariah ETF,38.57540893554688
2021-09-01,Wahed FTSE USA Shariah ETF,36.69911193847656
2021-10-01,Wahed FTSE USA Shariah ETF,39.572078704833984
2021-11-01,Wahed FTSE USA Shariah ETF,40.12764358520508
2021-12-01,Wahed FTSE USA Shariah ETF,42.096492767333984
2022-01-01,Wahed FTSE USA Shariah ETF,40.07266616821289
2022-02-01,Wahed FTSE USA Shariah ETF,38.929683685302734
2022-03-01,Wahed FTSE USA Shariah ETF,40.624610900878906
2022-04-01,Wahed FTSE USA Shariah ETF,37.70046615600586
2022-05-01,Wahed FTSE USA Shariah ETF,37.77881622314453
2022-06-01,Wahed FTSE USA Shariah ETF,34.4200439453125
2022-07-01,Wahed FTSE USA Shariah ETF,37.801734924316406
2022-08-01,Wahed FTSE USA Shariah ETF,36.136024475097656
2022-09-01,Wahed FTSE USA Shariah ETF,32.765411376953125
2022-10-01,Wahed FTSE USA Shariah ETF,35.33690643310547
2022-11-01,Wahed FTSE USA Shariah ETF,37.10966873168945
2022-12-01,Wahed FTSE USA Shariah ETF,34.67704772949219
2023-01-01,Wahed FTSE USA Shariah ETF,36.868263244628906
2023-02-01,Wahed FTSE USA Shariah ETF,36.33479690551758
2023-03-01,Wahed FTSE USA Shariah ETF,38.498291015625
2023-04-01,Wahed FTSE USA Shariah ETF,39.20974349975586
2023-05-01,Wahed FTSE USA Shariah ETF,39.932735443115234
2023-06-01,Wahed FTSE USA Shariah ETF,42.36910629272461
2023-07-01,Wahed FTSE USA Shariah ETF,43.768924713134766
2023-08-01,Wahed FTSE USA Shariah ETF,43.07449722290039
2023-09-01,Wahed FTSE USA Shariah ETF,41.11025238037109
2023-10-01,Wahed FTSE USA Shariah ETF,40.00069427490234
2023-11-01,Wahed FTSE USA Shariah ETF,43.66328811645508
2023-12-01,Wahed FTSE USA Shariah ETF,45.12236785888672
2013-01-01,Boubyan Bank K.S.C.P.,309.9581604003906
2013-02-01,Boubyan Bank K.S.C.P.,314.7261962890625
2013-03-01,Boubyan Bank K.S.C.P.,320.4491577148437
2013-04-01,Boubyan Bank K.S.C.P.,320.4516296386719
2013-05-01,Boubyan Bank K.S.C.P.,320.4516296386719
2013-06-01,Boubyan Bank K.S.C.P.,310.4373779296875
2013-07-01,Boubyan Bank K.S.C.P.,310.4373779296875
